CD_TURMA,DS_TURMA,TIPOCLASSE,GRAU
39543137,6° ANO 6B TARDE ANUAL,0,14
39793491,6° ANO M1 MANHA ANUAL,0,14
39577588,6° ANO A MANHA ANUAL,0,14
39367788,8° ANO B MANHA ANUAL,0,14
39783026,2ª ETAPA PRÉ-ESCOLA A MANHA AN,0,6
39482669,1° ANO C MANHA ANUAL,0,14
39439949,1ª SERIE B INTEGRAL ANUAL,32,101
39821367,3° ANO A MANHA ANUAL,0,14
39587997,NÃO SERIADO  3C NOITE ANUAL,0,109
39850695,NÃO SERIADO  1B TARDE ANUAL,0,109
39421871,4° ANO A MANHA ANUAL,0,14
39840441,6° ANO MB MANHA ANUAL,0,14
39534340, 7A MANHA ANUAL,1,6
39550322,MULTISERIADA 7J TARDE ANUAL,1,6
39356586,1ª SERIE E NOITE ANUAL,0,101
39535509, 7F TARDE ANUAL,1,6
39788406,1° ANO G TARDE ANUAL,0,14
39623955,NÃO SERIADO  3B MANHA ANUAL,0,109
39769762,5° ANO B MANHA ANUAL,0,14
39633383,NÃO SERIADO  3B MANHA ANUAL,0,109
39451258,12173 - AGRONEGÓCIO - 2ª SERIE,46,104
39423090,1° ANO E TARDE ANUAL,0,14
39693041,NÃO SERIADO  B3 TARDE ANUAL,27,110
39417410,1° ANO A MANHA ANUAL,0,14
39805838,2ª SERIE 2A MANHA ANUAL,0,101
39626676,NÃO SERIADO  C3 TARDE ANUAL,27,110
39692529,NÃO SERIADO  C2 TARDE ANUAL,27,110
39314150,3ª SERIE G NOITE ANUAL,0,101
39283360,2ª SERIE B INTEGRAL ANUAL,32,101
39858566,2° NIVEL PB TARDE ANUAL,0,26
39825098,2ª ETAPA PRÉ-ESCOLA D TARDE AN,0,6
39283154,3ª SERIE 3 NOITE ANUAL,0,101
39731881,FANFARRA - JUVENIL - MISTA E T,25,31
39330948,9° ANO A INTEGRAL ANUAL,17,14
39354120,2° ANO B TARDE ANUAL,0,14
39434140,2° ANO E TARDE ANUAL,0,14
39508712,2° ANO A MANHA ANUAL,0,14
39888287,1212 - INFORMATICA - 3ª SERIE ,0,90
39358059,3ª SERIE D NOITE ANUAL,0,101
39841995,NÃO SERIADO  1R MANHA ANUAL,0,109
39629232,NÃO SERIADO  E3 TARDE ANUAL,27,110
39303621,2° ANO A INTEGRAL ANUAL,17,14
39725363,1° ANO B TARDE ANUAL,0,14
39269387,2ª SERIE C INTEGRAL ANUAL,32,101
39269010,6° ANO B INTEGRAL ANUAL,17,14
39555772,4065 - VENDAS - 2ª SERIE B MAN,46,99
39271612,8° ANO 8A INTEGRAL ANUAL,17,14
39688284,6° ANO A MANHA ANUAL,0,14
39604119,3° ANO 3B TARDE ANUAL,0,14
39680868,MULTISERIADA 3A INTEGRAL ANUAL,1,6
39823622,4056 - LOGÍSTICA - 2° MODULO L,0,35
